Date,Open,High,Low,Close,Volume,Adj Close
2012-10-18,46.64,46.80,46.40,46.59,5397100,45.50
2012-10-17,47.12,47.33,46.46,46.65,8428000,45.40
2012-10-16,47.44,47.47,46.80,46.90,6646600,45.65
2012-10-15,47.23,47.23,46.92,47.07,4914000,45.81
2012-10-12,47.49,47.49,46.75,47.08,7482900,45.82
2012-10-11,48.38,48.49,47.55,47.60,6117100,46.33
2012-10-10,48.21,48.49,47.95,48.06,5309100,46.78
2012-10-09,48.51,48.76,47.95,48.02,6021800,46.74
2012-10-08,48.85,48.94,48.63,48.63,4170700,47.33
2012-10-05,49.04,49.23,48.67,48.86,5351600,47.55
2012-10-04,49.02,49.16,48.73,48.88,5251800,47.57
2012-10-03,48.69,48.98,48.31,48.86,5048200,47.55
2012-10-02,48.66,48.91,48.29,48.49,5437100,47.19
2012-10-01,48.51,48.94,48.32,48.67,6956400,47.37
2012-09-28,48.12,48.45,47.90,48.42,6539600,47.13
2012-09-27,47.89,48.45,47.85,48.24,4169100,46.95
2012-09-26,47.57,48.18,47.43,47.83,5220400,46.55
2012-09-25,48.09,48.46,47.55,47.63,7695300,46.36
2012-09-24,47.75,48.21,47.60,48.07,4920100,46.79
2012-09-21,48.10,48.10,47.75,47.87,5834600,46.59
2012-09-20,47.50,47.98,47.49,47.81,5737400,46.53
2012-09-19,47.23,48.15,47.15,47.71,9976700,46.44
2012-09-18,46.82,47.47,46.63,47.40,5874400,46.13
2012-09-17,46.99,47.00,46.59,46.90,4524700,45.65
2012-09-14,47.62,47.62,46.81,46.97,6832900,45.72
2012-09-13,46.41,47.51,46.36,47.45,5991500,46.18
2012-09-12,46.10,46.56,46.10,46.47,4774400,45.23
2012-09-11,46.25,46.40,45.98,46.05,4430600,44.82
2012-09-10,46.04,46.42,45.86,46.19,3781700,44.96
2012-09-07,46.48,46.56,45.84,46.06,5558200,44.83
2012-09-06,46.03,46.82,46.03,46.50,6968900,45.26
2012-09-05,45.85,45.97,45.49,45.53,4645600,44.31
2012-09-04,45.50,46.03,45.43,45.93,5007500,44.70
2012-08-31,45.41,45.82,45.30,45.55,4652900,44.33
2012-08-30,45.38,45.65,45.18,45.20,3204700,43.99
2012-08-29,45.39,45.59,45.19,45.43,3558700,44.22
2012-08-28,45.38,45.70,45.07,45.36,5269000,44.15
2012-08-27,45.48,45.66,45.35,45.44,3519300,44.23
2012-08-24,45.29,45.63,45.24,45.56,5156200,44.34
2012-08-23,45.67,45.70,45.32,45.35,5159200,44.14
2012-08-22,45.53,45.95,45.51,45.70,4395400,44.48
2012-08-21,45.76,45.98,45.47,45.63,6156900,44.41
